"id","full_name","bio","nick_name","email","office_email","phone_no","user_role","gender","blood_group_name","batch_name","stream_name","job_sector_name","job_sub_sector_name","thana","present_address","permanent_address"
"25","Shane Watson1","","Watson1","shanewatson@gmail.com","shane.ba@ptvl.com","123","Moderator","Male","Ab+","1st","strem2","hr&admin","","","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"32","Golam Mostafa","","Shown","golam@gmail.com","golam.ba@ptvl.com","0177774454","Moderator","Male","Ab+","1st","strem2","hr&admin","","Ramgonj","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"34","Rajib Hossain1","helllo bio ","Rajib1","rajibhossain@gmail.com","rajibullah.ba@ptvl.com","0177674450","Staff","Male","Ab+","1st","strem2","engineer job sector","job sub sector bal","","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"35","Rajib Hossain2","","Rajib2","rajibhossai2n@gmail.com","rajib.ba@ptvl.com","01776744500","Admin","Male","Ab+","3rd","strem2","hr&admin","","Kakrail","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"36","Md Rakib Ho","","Rakib","rakib10ms@gmail.com","rajib.ba@ptvl.com","01312275802","Admin","Male","Ab+","3rd","strem2","hr&admin","","asdas","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"37","Fazle Arafat","","Arafat","arafat@gmail.com","arafat.ba@ptvl.com","01312775802","Alumni","Male","Ab+","1st","strem2","hr&admin","","asdas","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"38","Duplicate Rakib","","Rakib Duplicate","rakibhossain18156@gmail.com","rakib.ba@ptvl.com","01312475802","Moderator","Female","Ab+","1st","stream3","Account","","asdasd","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"39","Tendulkar","","Tendulkar","tendular123@gmail.com","tendu.ba@ptvl.com","01342475802","Moderator","Male","Ab+","1st","stream3","Account","","","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"40","hasan","","mahmudul","shawon1@gmail.com","shawon2@gmail.com","+93123559999","Alumni","Male","","","","","","Dohar","dhaka","dhaka"
"42","Tendulkar2","","Tendulkar4","tendular1234@gmail.com","tendu.ba@ptvl.com","01342472328","Moderator","Male","Ab+","1st","stream3","","","dhk","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"43","baldeem","","baldeem2","tendular12344@gmail.com","tendu.ba@ptvl.com","013424723","Moderator","Male","Ab+","1st","stream3","","","dhk","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"44","baldeem12","","baldeem23","tendular1230434@gmail.com","tendu.ba@ptvl.com","0154247235","Moderator","Male","Ab+","1st","stream3","","","dhk","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"47","baldeem12","","baldeem23","tendular10434@gmail.com","tendu.ba@ptvl.com","0154297235","Moderator","Male","Ab+","3rd","stream3","","","dhk","Kudar Bazar,Muradpur,Kadamtoli,Jatrabari,Dhaka-1201","Enayetpur,Raypur,Lakhsmipur,Chittagong"
"48","hasan","","mahmudul","shawon3@gmai.com","shawon4@gmail.com","+93233333335134","Alumni","Male","","1st","","","","Nawabganj","dhaka","dhaka"
"50","new rakib2","","new rakib2","newrakib2@gmail.com","rakib.ba@ptvl.com","0131212311","Admin","","","","","engineer","","","Jatrabari,Dhaka","Ramgonj,Lakshmipur"
"51","new rakib2","","new rakib2","newrakib12@gmail.com","rakib.ba@ptvl.com","013212311","Admin","","","","","engineer job sector","full stack job sub sector","","Jatrabari,Dhaka","Ramgonj,Lakshmipur"
"55","Radu Hasan3","","rakibu","radu2@gmail.com","rakibu@ptvl.com","018499543","Admin","Female","Ab+","","","","full stack job sub sector","172","Dowa Banga,present","Doa Banga,Permanent"
